Spectrum	Date	Time	Acetylene (1000) 191C	Benzene  191c	C4F6 150C	CF4 Low 150C	CH4 (250) 191C (1of2)	CO (500) 191C (1of2)	CO2 ppm 191c	Desflurane 150c	Ethane (500) 191C	Ethylene (100,3000) 191C	H2O% (40) 191C	HCl ppm (100) 191C	HEXAFLUOROETHANE 150C	HEXAFLUOROPROPYLENE 150C	HF ppm (10) 191C	Isoflurane 150c	N2O (100,200,300) 191C	NO (350,3000) 191C	Propane (100) 191C	TRIFLUOROMETHANE 150C	Temp (C)	Pressure (Atm)	NO2 wet	CO wet	CH4 wet	NH3 wet	NOx wet	CO dry	CO2% dry	NO dry	NO2 dry	NOx dry	HC (C3)	Igram DC	Igram PP	phase Angle	laser PP	laser DC	Bad Scan counter	Centerburst Location	Linearizer Check	SNR 2500	sBeam @ 2500	
2020 HEATING NEW PTFE LINE_0021.LAB	11/19/2020	14:16:12.004	0.022605	0.108442	-0.069242	-0.002901	-0.058526	0.222519	-0.899592	0.000084	-0.197620	-0.035349	0.008770	0.112860	0.006212	0.010972	0.048023	-0.006101	-0.007010	-0.217457	0.175773	-0.003948	192.139801	0.996438	0.108442	0.112860	-0.007010	-0.058526	0.131047	0.112860	0.008770	0.022605	0.108442	0.131047	0.094214	3.394053	6.678811	83.233528	8.677629	-5.406593	0.000000	1133.034912	0.000260	1245.792603	0.858632
2020 HEATING NEW PTFE LINE_0022.LAB	11/19/2020	14:16:15.654	0.153295	0.444669	0.090283	0.003640	-0.036836	0.132841	-0.454170	0.019717	0.420953	-0.110371	0.005956	-0.011474	-0.001124	0.014420	-0.081867	-0.006983	-0.008930	-0.193589	0.243283	0.007813	192.165237	1.004390	0.444669	-0.011474	-0.008930	-0.036836	0.597964	-0.011476	0.005957	0.153325	0.444757	0.598082	0.115251	3.385759	6.681492	84.352364	8.677629	-5.406593	0.000000	1133.030762	0.000324	999.779968	0.860011
2020 HEATING NEW PTFE LINE_0023.LAB	11/19/2020	14:16:19.486	0.261402	-0.206130	-0.328376	0.011796	1.579860	23.629906	365.176510	0.130491	8.816525	-0.455720	1.570959	-0.184042	-0.035609	0.174833	0.150985	-0.141416	0.208913	0.024087	7.063747	-0.059828	192.131317	1.006720	-0.206130	-0.184042	0.208913	1.579860	0.055272	-0.184282	1.573012	0.261743	-0.206399	0.055344	4.899225	2.586576	6.187057	84.472237	8.677629	-5.406593	0.000000	1132.995728	0.000448	665.000671	0.862334
2020 HEATING NEW PTFE LINE_0024.LAB	11/19/2020	14:16:23.750	0.057968	-2.795274	-0.331999	0.084694	2.165410	12.351137	478.061343	0.172641	10.248576	-0.223811	3.022602	-0.196635	-0.010286	0.124571	0.243423	-0.127242	0.338647	-0.250930	5.739261	-0.063699	192.139801	1.006399	-2.795274	-0.196635	0.338647	2.165410	-2.737305	-0.196975	3.027830	0.058068	-2.800108	-2.742039	4.062539	2.279788	5.997662	83.233528	8.736484	-5.421978	0.000000	1132.984131	0.000164	900.312073	0.864333
2020 HEATING NEW PTFE LINE_0025.LAB	11/19/2020	14:16:27.412	-0.375374	-0.842547	-0.125280	0.049604	2.046973	3.238074	460.623026	0.338081	5.208685	-0.108779	1.666008	-0.175752	0.013249	-0.118312	0.277108	0.037610	0.343460	-0.593998	2.365095	-0.082656	192.088928	1.004631	-0.842547	-0.175752	0.343460	2.046973	-1.217921	-0.176348	1.671659	-0.376647	-0.845405	-1.222052	1.749054	2.554221	6.162677	84.072655	8.736484	-5.421978	0.000000	1133.010742	0.000109	1236.826782	0.863361
2020 HEATING NEW PTFE LINE_0026.LAB	11/19/2020	14:16:31.297	-0.066954	-0.977499	-0.066037	0.034077	2.262566	1.322987	456.284933	0.147675	2.860454	0.031610	0.833508	0.174155	0.046646	-0.041307	0.270404	0.037173	0.392313	-0.295157	0.796974	-0.018736	192.114365	1.012985	-0.977499	0.283910	0.392313	2.262566	-1.044454	0.284330	0.834740	-0.067053	-0.978945	-1.045998	0.750253	2.786945	6.300738	84.472237	8.701863	-5.421978	0.000000	1133.030762	0.000044	1178.631226	0.861797
2020 HEATING NEW PTFE LINE_0027.LAB	11/19/2020	14:16:35.241	-0.138201	-0.424750	-0.018797	0.021315	2.401564	1.181099	458.454065	0.091024	1.990174	0.004950	0.654038	0.133956	0.036412	-0.021958	0.378603	0.029305	0.352988	-0.226860	0.279420	-0.003618	192.097412	1.018501	-0.424750	0.133959	0.352988	2.401564	-0.562952	0.134081	0.654634	-0.138327	-0.425137	-0.563465	0.425510	2.855721	6.338425	84.791908	8.701863	-5.439560	0.000000	1133.037231	0.000134	878.832458	0.860554
2020 HEATING NEW PTFE LINE_0028.LAB	11/19/2020	14:16:39.157	-0.351045	-1.075230	-0.013627	0.019128	2.081822	0.853335	456.419703	0.064691	2.031842	0.072115	0.593014	0.203972	0.046643	-0.007999	0.263446	0.010871	0.231723	-0.132225	0.460328	0.001208	192.139801	1.009290	-1.075230	0.313397	0.231723	2.081822	-1.426274	0.313600	0.593398	-0.351272	-1.075926	-1.427198	0.457728	2.881878	6.353843	84.632072	8.694939	-5.439560	0.000000	1133.041016	0.000112	909.568787	0.860566
2020 HEATING NEW PTFE LINE_0029.LAB	11/19/2020	14:16:43.031	0.056601	0.566201	-0.039695	0.021631	2.417654	0.910013	458.844406	0.052865	1.561670	0.035483	0.559455	0.091626	0.050464	0.007793	0.183207	0.024430	0.293506	-0.094731	0.337674	0.006376	192.088928	1.005435	0.566201	5.441443	0.293506	2.417654	0.622803	5.444321	0.559751	0.056631	0.566501	0.623132	0.371075	2.892420	6.360626	83.912819	8.694939	-5.461538	0.000000	1133.042236	0.000332	1075.689697	0.859899
2020 HEATING NEW PTFE LINE_0030.LAB	11/19/2020	14:16:47.279	0.292394	0.683449	-0.008409	0.016135	2.156922	0.935162	459.802088	0.051449	1.148584	-0.032141	0.558402	-0.071768	0.048637	-0.002872	0.211598	0.006392	0.353195	-0.247170	0.119122	0.008498	192.088928	1.005113	0.683449	0.765915	0.353195	2.156922	0.975843	0.766310	0.558690	0.292545	0.683801	0.976346	0.255555	2.893126	6.362114	83.952782	8.784952	-5.461538	0.000000	1133.042969	0.000050	1141.667236	0.859407
