Spectrum,Date,Time,Acetylene (1000) 191C,Benzene  191c,C4F6 150C,CF4 Low 150C,CH4 (250) 191C (1of2),CO (500) 191C (1of2),CO2 ppm 191c,Desflurane 150c,Ethane (500) 191C,"Ethylene (100,3000) 191C",H2O% (40) 191C,HCl ppm (100) 191C,HEXAFLUOROETHANE 150C,HEXAFLUOROPROPYLENE 150C,HF ppm (10) 191C,Isoflurane 150c,"N2O (100,200,300) 191C","NO (350,3000) 191C",Propane (100) 191C,TRIFLUOROMETHANE 150C,Temp (C),Pressure (Atm),NO2 wet,CO wet,CH4 wet,NH3 wet,NOx wet,CO dry,CO2% dry,NO dry,NO2 dry,NOx dry,HC (C3),Igram DC,Igram PP,phase Angle,laser PP,laser DC,Bad Scan counter,Centerburst Location,Linearizer Check,SNR 2500,sBeam @ 2500,Unnamed: 46
2020 HEATING NEW PTFE LINE_0044.LAB,11/19/2020,14:17:42.228,0.081535,-0.6827949999999999,-0.022442,0.015484,2.2488200000000003,0.41369300000000003,456.677575,-0.015611000000000002,0.869067,-0.003897,0.545423,0.24135,0.038099,-0.004215,0.182162,-0.002924,0.455509,-0.383738,-0.036528,0.0066040000000000005,192.012619,1.0072020000000002,-0.6827949999999999,0.241367,0.455509,2.2488200000000003,-0.60126,0.241329,0.545338,0.081522,-0.682688,-0.601166,0.214198,2.903286,6.364704,83.393364,8.774566,-5.512087999999999,0.0,1133.045776,0.000618,1315.709106,0.859634,
2020 HEATING NEW PTFE LINE_0045.LAB,11/19/2020,14:17:45.900,-0.031275,-0.501342,0.016909999999999998,0.016413999999999998,2.190904,-0.036976999999999996,456.06950300000005,-0.009659000000000001,0.778257,0.065731,0.544484,0.16989200000000002,0.045063,0.0065780000000000005,0.157467,0.019201,0.330404,-0.278244,0.165103,0.004251,192.038055,1.007041,-0.501342,0.19167599999999999,0.330404,2.190904,-0.532617,0.191657,0.544431,-0.031272,-0.5012939999999999,-0.532565,0.257656,2.901267,6.3647540000000005,84.911781,8.774566,-5.505495,0.0,1133.045532,0.000164,924.7375490000001,0.858611,
2020 HEATING NEW PTFE LINE_0046.LAB,11/19/2020,14:17:49.740,0.040929,-1.408467,0.087197,0.015828000000000002,2.151622,0.518238,456.290733,-0.016862000000000002,1.045377,-0.06389600000000001,0.541779,0.037286,0.042283999999999995,0.040483,0.19631600000000002,-0.0071730000000000006,0.325388,-0.181198,-0.165196,0.007442,192.088928,1.00672,-1.408467,0.038556,0.325388,2.151622,-1.367538,0.038549,0.5416880000000001,0.040922,-1.4082299999999999,-1.367307,0.172007,2.899797,6.364655,83.952782,8.726097,-5.505495,0.0,1133.045044,0.00033999999999999997,838.968811,0.858634,
2020 HEATING NEW PTFE LINE_0047.LAB,11/19/2020,14:17:53.704,0.484382,-0.088786,0.023046,0.019161,2.2312369999999997,0.36780100000000004,454.68853600000006,-0.035387,0.49223199999999995,0.10191599999999999,0.540659,0.10426700000000001,0.0299,-0.0044210000000000005,0.16271300000000002,0.021943999999999998,0.25804699999999997,-0.088591,-0.07967300000000001,-0.001361,192.063492,1.0066389999999998,-0.088786,0.10426700000000001,0.25804699999999997,2.2312369999999997,0.395596,0.10422999999999999,0.5404680000000001,0.48421000000000003,-0.088755,0.395456,0.128723,2.9020770000000002,6.365161,83.752983,8.726097,-5.496703,0.0,1133.046265,0.000252,900.183899,0.859192,
2020 HEATING NEW PTFE LINE_0048.LAB,11/19/2020,14:17:57.584,0.045521,-0.11172,-0.14789000000000002,0.016733,2.162593,0.488762,456.853371,0.004054,0.279979,0.071539,0.530204,0.100888,0.039449,0.011289,0.195421,-0.002957,0.18538,-0.201523,-0.153394,0.0072180000000000005,192.063492,1.007255,-0.11172,0.100957,0.18538,2.162593,-0.06619900000000001,0.100962,0.530226,0.045523,-0.111725,-0.066202,0.106956,2.906046,6.365787999999999,83.353401,8.726097,-5.496703,0.0,1133.0467529999999,0.000248,1114.820801,0.8590969999999999,
2020 HEATING NEW PTFE LINE_0049.LAB,11/19/2020,14:18:01.508,0.352902,0.115168,-0.073183,0.017391999999999998,2.097529,0.202025,455.230361,0.0063490000000000005,0.36635,-0.077128,0.555325,0.07196,0.045992,0.0036130000000000003,0.048935,0.012764,0.253821,-0.248939,0.004543,0.011303,192.063492,1.007121,0.115168,0.128228,0.253821,2.097529,0.46807,0.128236,0.5553600000000001,0.352925,0.115175,0.4681,0.117501,2.9071990000000003,6.365882,83.353401,8.726097,-5.501099,0.0,1133.046265,0.00022799999999999999,1168.092529,0.859397,
2020 HEATING NEW PTFE LINE_0050.LAB,11/19/2020,14:18:05.438,0.35854,-0.980884,-0.00806,0.016177,2.191875,0.075295,454.066738,-0.010006000000000001,0.9087219999999999,-0.025955000000000002,0.540325,0.28254,0.036068,-0.026222000000000002,0.093194,-0.003667,0.354565,-0.23911999999999997,-0.516356,0.0071849999999999995,192.114365,1.006881,-0.980884,0.282543,0.354565,2.191875,-0.622345,0.282514,0.5402710000000001,0.358504,-0.980786,-0.622282,0.12170299999999999,2.906222,6.365507,83.952782,8.726097,-5.501099,0.0,1133.046509,0.00013000000000000002,1109.327759,0.859369,
2020 HEATING NEW PTFE LINE_0051.LAB,11/19/2020,14:18:09.531,0.324863,0.255119,-0.044910000000000005,0.016685,2.277678,0.352513,456.309704,-0.009788,0.5364949999999999,0.087395,0.539637,0.116224,0.033625999999999996,0.007155,0.130693,0.002623,0.377925,-0.303417,-0.168459,0.001952,192.139801,1.006961,0.255119,0.116224,0.377925,2.277678,0.579983,0.11621300000000001,0.539585,0.324831,0.255094,0.579926,0.148529,2.902939,6.365032,84.75194499999999,8.767642,-5.507692,0.0,1133.0471189999998,0.000193,783.179504,0.85993,
2020 HEATING NEW PTFE LINE_0052.LAB,11/19/2020,14:18:13.654,0.015812,-0.5054,-0.040347,0.01485,2.275602,0.531138,455.36343899999997,-0.008520999999999999,0.654258,0.11648900000000001,0.541663,0.002039,0.041592000000000004,0.036777,0.163712,0.00179,0.248996,-0.194254,-0.13363599999999998,0.008889,192.063492,1.006559,-0.5054,0.002664,0.248996,2.275602,-0.489588,0.002664,0.541617,0.015811000000000002,-0.505357,-0.489546,0.135502,2.8998169999999996,6.364631,83.433319,8.736483999999999,-5.507692,0.0,1133.046143,0.00041900000000000005,1090.890625,0.8590709999999999,
2020 HEATING NEW PTFE LINE_0053.LAB,11/19/2020,14:18:17.290,-0.247977,-1.205886,-0.10463599999999999,0.014868000000000001,2.30662,0.499497,456.575574,0.00842,0.827908,-0.09748899999999999,0.551233,0.124206,0.032855,-0.039963,0.060182000000000006,0.004305,0.305087,-0.41106099999999995,-0.315784,-0.000296,191.98718300000002,1.007041,-1.205886,0.124206,0.305087,2.30662,-1.453863,0.12421700000000001,0.551279,-0.247998,-1.2059870000000001,-1.453985,0.07560700000000001,2.8979150000000002,6.363987,83.912819,8.736483999999999,-5.507692,0.0,1133.047241,0.00021400000000000002,871.7456050000001,0.8581049999999999,
2020 HEATING NEW PTFE LINE_0054.LAB,11/19/2020,14:18:21.129,0.002288,0.360869,-0.022101,0.018144,2.13028,0.8208559999999999,458.29635599999995,0.02193,0.904223,-0.0057280000000000005,0.5378850000000001,0.110391,0.028842000000000003,0.026311,0.171689,-0.004934,0.280605,-0.08236900000000001,-0.174532,0.001041,192.029572,1.0068270000000001,0.360869,0.110391,0.280605,2.13028,0.363158,0.11041500000000001,0.5380020000000001,0.0022890000000000002,0.360948,0.363237,0.135055,2.89845,6.364376999999999,83.792946,8.736483999999999,-5.507692,0.0,1133.048584,0.00038500000000000003,1048.035034,0.858555,
2020 HEATING NEW PTFE LINE_0055.LAB,11/19/2020,14:18:25.053,0.415875,-0.22077600000000003,-0.033417,0.018002,2.201228,0.470347,459.47635499999996,-0.008364,0.491675,0.00556,0.537025,-0.037241,0.028794999999999998,-0.018221,0.100566,0.002264,0.26550300000000004,-0.43736800000000003,-0.388181,0.001277,192.038055,1.007282,-0.22077600000000003,-0.037241,0.26550300000000004,2.201228,0.1951,-0.037237,0.53698,0.41584099999999996,-0.220757,0.195083,0.08603200000000001,2.90257,6.364958000000001,83.673073,8.767642,-5.507692,0.0,1133.0469970000001,0.0004,973.6532589999999,0.858202,
2020 HEATING NEW PTFE LINE_0056.LAB,11/19/2020,14:18:29.349,0.018302000000000002,-2.225105,-0.080951,0.016855000000000002,2.256837,0.287448,459.96583899999996,-0.030851999999999997,0.732528,0.065235,0.5377890000000001,0.023181,0.036185,0.01206,0.054588,0.012394,0.285033,-0.018307,-0.5098189999999999,0.007947,192.038055,1.007121,-2.225105,0.023183000000000002,0.285033,2.256837,-2.206803,0.023176,0.537623,0.018297,-2.2244189999999997,-2.206122,0.10701300000000001,2.906614,6.365473000000001,83.433319,8.767642,-5.501099,0.0,1133.048096,0.000383,1094.955688,0.858504,
2020 HEATING NEW PTFE LINE_0057.LAB,11/19/2020,14:18:32.996,0.008912999999999999,-0.80513,0.021882,0.015687,2.168475,0.24315900000000001,458.23470199999997,-0.008296,1.011873,-0.025374,0.5493239999999999,0.009909999999999999,0.027912,-0.046176,0.13338699999999998,0.011077,0.37426,-0.150978,-0.075864,0.000196,192.063492,1.0066389999999998,-0.80513,0.009909999999999999,0.37426,2.168475,-0.796218,0.009909000000000001,0.549279,0.008912,-0.805064,-0.7961520000000001,0.14061500000000002,2.907782,6.365778,84.592117,8.739945,-5.501099,0.0,1133.049561,0.000399,802.614685,0.860773,
2020 HEATING NEW PTFE LINE_0058.LAB,11/19/2020,14:18:36.825,-0.24083400000000002,-0.913508,-0.031849,0.017464,2.131272,0.8559459999999999,460.37693099999996,0.003913000000000001,0.986914,0.047013,0.544188,0.12858499999999998,0.024204,-0.003691,0.125066,-0.0049960000000000004,0.37805900000000003,-0.020994,-0.20831,0.00267,191.995651,1.00672,-0.913508,0.12858499999999998,0.37805900000000003,2.131272,-1.154342,0.12859,0.5442100000000001,-0.24084299999999997,-0.913544,-1.154388,0.13683499999999998,2.90752,6.36543,84.632072,8.739945,-5.501099,0.0,1133.047974,0.000136,945.308472,0.8594360000000001,
2020 HEATING NEW PTFE LINE_0059.LAB,11/19/2020,14:18:40.754,0.47667600000000004,-1.417071,-0.036745,0.016011,2.000954,0.673804,458.527702,-0.011909999999999999,1.0262229999999999,0.057651,0.536497,0.005741,0.028364,-0.020003999999999997,0.127388,-0.00329,0.33708499999999997,-0.198905,0.011529000000000001,0.00016999999999999999,192.012619,1.006881,-1.417071,0.005741,0.33708499999999997,2.000954,-0.9403950000000001,0.005741,0.5364329999999999,0.47661899999999996,-1.416903,-0.940283,0.155053,2.904843,6.364863,83.433319,8.788414,-5.501099,0.0,1133.04834,6.9e-05,843.462952,0.85888,
2020 HEATING NEW PTFE LINE_0060.LAB,11/19/2020,14:18:44.674,0.326221,-2.790868,-0.085349,0.015221,2.0187049999999997,0.380044,460.215028,-0.013287,0.7559739999999999,-0.06713,0.540369,-0.016783000000000003,0.039219,0.022027,0.17286300000000002,-0.003023,0.375841,-0.222617,0.263788,0.004659,192.038055,1.00672,-2.790868,-0.016728,0.375841,2.0187049999999997,-2.464648,-0.016725999999999998,0.540297,0.326177,-2.790498,-2.4643200000000003,0.343265,2.90172,6.364011,83.313446,8.788414,-5.501099,0.0,1133.0505369999998,0.000339,1095.285645,0.858427,
